function,angle,value
tan,1,0.000290918
tan,3,0.000873463
tan,5,0.001458144
tan,7,0.002046409
tan,9,0.002639741
tan,11,0.003239672
tan,13,0.003847803
tan,15,0.00446582
tan,17,0.005095511
tan,19,0.005738794
tan,21,0.006397734
tan,23,0.00707458
tan,25,0.007771794
tan,27,0.008492091
tan,29,0.009238484
tan,31,0.010014344
tan,33,0.01082346
tan,35,0.011670126
tan,37,0.012559234
tan,39,0.013496401
tan,41,0.014488112
tan,43,0.015541918
tan,45,0.016666667
tan,47,0.017872812
tan,49,0.019172807
tan,51,0.020581619
tan,53,0.022117414
tan,55,0.023802467
tan,57,0.025664416
tan,59,0.027737991
tan,61,0.030067463
tan,63,0.032710175
tan,65,0.035741782
tan,67,0.039264206
tan,69,0.043418151
tan,71,0.048403515
tan,73,0.05451421
tan,75,0.062200847
tan,77,0.072191265
tan,79,0.085742567
tan,81,0.105229192
tan,83,0.135739107
tan,85,0.190500872
tan,87,0.318018945
tan,89,0.954832694
tan,91,-0.954832694
tan,93,-0.318018945
tan,95,-0.190500872
tan,97,-0.135739107
tan,99,-0.105229192
tan,101,-0.085742567
tan,103,-0.072191265
tan,105,-0.062200847
tan,107,-0.05451421
tan,109,-0.048403515
tan,111,-0.043418151
tan,113,-0.039264206
tan,115,-0.035741782
tan,117,-0.032710175
tan,119,-0.030067463
tan,121,-0.027737991
tan,123,-0.025664416
tan,125,-0.023802467
tan,127,-0.022117414
tan,129,-0.020581619
tan,131,-0.019172807
tan,133,-0.017872812
tan,135,-0.016666667
tan,137,-0.015541918
tan,139,-0.014488112
tan,141,-0.013496401
tan,143,-0.012559234
tan,145,-0.011670126
tan,147,-0.01082346
tan,149,-0.010014344
tan,151,-0.009238484
tan,153,-0.008492091
tan,155,-0.007771794
tan,157,-0.00707458
tan,159,-0.006397734
tan,161,-0.005738794
tan,163,-0.005095511
tan,165,-0.00446582
tan,167,-0.003847803
tan,169,-0.003239672
tan,171,-0.002639741
tan,173,-0.002046409
tan,175,-0.001458144
tan,177,-0.000873463
tan,179,-0.000290918
